2022-09-19T10:00:00,2022-09-19T11:00:00,Inspire Me Lectures,Lecture (Online - Live), 
2022-09-21T13:00:00,2022-09-21T14:00:00,Inspire Me Lectures,Lecture (Online - Live), 
2022-09-22T09:00:00,2022-09-22T12:00:00,Computer Science Starting Block: Y3 Programme Intro,Lecture (On Campus),2Q49 FR
2022-09-26T13:00:00,2022-09-26T14:00:00,Distributed and Enterprise Software Development: Module Introduction,Lecture (On Campus),2Q49 FR
2022-09-27T09:00:00,2022-09-27T10:00:00,Security Data Analytics and Visualisation: Module Introduction,Lecture (On Campus),1L17 FR
2022-09-27T11:00:00,2022-09-27T12:00:00,Security Data Analytics and Visualisation: Starting Block Tutorial,Group Tutorial (On Campus),4Q08 FR
2022-09-27T13:00:00,2022-09-27T14:00:00,Distributed and Enterprise Software Development: Starting Block Tutorial,Group Tutorial (On Campus),4Q08 FR
2022-09-28T10:00:00,2022-09-28T11:00:00,Mobile Applications: Module Introduction,Lecture (On Campus),2E27 FR
2022-09-29T09:00:00,2022-09-29T10:00:00,Digital Systems Project: Module Introduction,Lecture (On Campus),2Q49 FR
2022-09-29T10:00:00,2022-09-29T11:00:00,Inspire Me Lectures,Lecture (Online - Live), 
2022-10-03T08:00:00,2022-10-03T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-10-03T09:30:00,2022-10-03T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-10-03T13:00:00,2022-10-03T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-10-04T13:00:00,2022-10-04T14:00:00,Digital Systems Project,Lecture (On Campus),4B031 FR
2022-10-04T14:00:00,2022-10-04T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-10-06T10:00:00,2022-10-06T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-10-06T14:00:00,2022-10-06T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-10-10T08:00:00,2022-10-10T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-10-10T09:30:00,2022-10-10T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-10-10T18:00:00,2022-10-10T19:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),1R026 FR
2022-10-11T13:00:00,2022-10-11T14:00:00,Digital Systems Project,Lecture (On Campus),4B031 FR
2022-10-11T14:00:00,2022-10-11T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-10-13T10:00:00,2022-10-13T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-10-13T14:00:00,2022-10-13T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-10-17T08:00:00,2022-10-17T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-10-17T09:30:00,2022-10-17T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-10-17T13:00:00,2022-10-17T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-10-18T13:00:00,2022-10-18T14:00:00,Digital Systems Project,Lecture (On Campus),4B031 FR
2022-10-18T14:00:00,2022-10-18T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-10-20T10:00:00,2022-10-20T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-10-20T14:00:00,2022-10-20T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-10-24T08:00:00,2022-10-24T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-10-24T09:30:00,2022-10-24T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-10-24T13:00:00,2022-10-24T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-10-25T13:00:00,2022-10-25T14:00:00,Digital Systems Project,Lecture (On Campus),4B031 FR
2022-10-25T14:00:00,2022-10-25T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-10-27T10:00:00,2022-10-27T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-10-27T14:00:00,2022-10-27T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-10-31T08:00:00,2022-10-31T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-10-31T09:30:00,2022-10-31T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-10-31T13:00:00,2022-10-31T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-11-01T13:00:00,2022-11-01T14:00:00,Digital Systems Project,Drop In (Online - Live), 
2022-11-01T14:00:00,2022-11-01T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-11-03T10:00:00,2022-11-03T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-11-03T14:00:00,2022-11-03T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-11-07T08:00:00,2022-11-07T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-11-07T09:30:00,2022-11-07T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-11-07T13:00:00,2022-11-07T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-11-08T14:00:00,2022-11-08T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-11-10T10:00:00,2022-11-10T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-11-10T14:00:00,2022-11-10T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-11-14T08:00:00,2022-11-14T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-11-14T09:30:00,2022-11-14T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-11-14T13:00:00,2022-11-14T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-11-15T14:00:00,2022-11-15T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-11-17T10:00:00,2022-11-17T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-11-17T14:00:00,2022-11-17T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-11-21T08:00:00,2022-11-21T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-11-21T09:30:00,2022-11-21T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-11-21T13:00:00,2022-11-21T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-11-22T14:00:00,2022-11-22T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-11-24T10:00:00,2022-11-24T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-11-24T14:00:00,2022-11-24T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-11-28T08:00:00,2022-11-28T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-11-28T09:30:00,2022-11-28T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-11-28T18:00:00,2022-11-28T19:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),1R026 FR
2022-11-29T14:00:00,2022-11-29T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-12-01T10:00:00,2022-12-01T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-12-01T14:00:00,2022-12-01T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-12-05T08:00:00,2022-12-05T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-12-05T09:30:00,2022-12-05T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-12-05T13:00:00,2022-12-05T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-12-06T13:00:00,2022-12-06T14:00:00,Digital Systems Project,Drop In (Online - Live), 
2022-12-06T14:00:00,2022-12-06T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-12-08T10:00:00,2022-12-08T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
